TASK_ID;Titel;Ziel;Risk;Worker;Abhängigkeiten;Allowlist;Akzeptanzkriterien;Automatische Tests;Human Gate;Größe
SHP-001;Repository-Portabilität;Windows/Mac-stabiles privates Git-Fundament;MEDIUM;Codex;-;.gitattributes|.gitignore|Tooling-Doku;LF und Ignore-Regeln ohne Theme-Änderung;git diff --check|Ignore-Test;NEIN;S
SHP-002;Backup-/Restore-Drill;Live-Backup Tag Dev Theme Restore verifizieren;MEDIUM;Codex;SHP-001;automation/**|Reports;Restore-Hashes stimmen Live/Fallback unberührt;Theme-Liste|Hash|Live-Smoke;NEIN;M
SHP-003;QA-Logfilter;Kleine Evidenzpakete statt Rohlogs;LOW;Codex;SHP-001;qa/**|package.json;maximal 30 relevante Logzeilen;PASS/FAIL-Fixtures|JSON;NEIN;S
SHP-004;Manifest-/State-Runner;Domainneutralen Runner bauen;MEDIUM;Codex;SHP-001,SHP-003;automation/core/**|Tests;atomare States Lock Resume;Unit-/Fixture-Tests;NEIN;M
SHP-005;Deterministischer Risk Guard;Risk Allowlist und Hard Stop implementieren;MEDIUM;Codex;SHP-004;automation/core/**|domains/shopify/**|Tests;höchste Regel gewinnt;Pfad-/Operations-Fixtures;NEIN;M
SHP-006;Diff-Budget Guard;Datei- und Zeilenbudgets erzwingen;LOW;Codex;SHP-004;automation/core/**|Tests;Allowlist-Verstoß Hard Stop;Diff-Fixtures;NEIN;S
SHP-007;Secret-Scan-Gate;Secret-Scan vor Push integrieren;LOW;Codex;SHP-001;Tooling|CI|Fixtures;Testsecret erkannt keine Secrets geloggt;Secret-Fixture;NEIN;S
SHP-008;Notification Policy;Nur definierte Ereignisse melden;LOW;Codex;SHP-004;automation/core/**|Tests;PASS still Sonderereignisse gemeldet;Event-Fixtures;NEIN;S
SHP-009;45-Minuten-Sicherheitstest;Fünf Szenarien beaufsichtigt bestehen;MEDIUM;Codex + Claude Code;SHP-002-SHP-008;Test-Fixtures|Dev Theme;Testplan vollständig PASS;FIRST_SUPERVISED_TEST_PLAN;JA;M
SHP-010;Windows-SEO-Tooling angleichen;Originalen SEO-Checker belegbar herstellen;MEDIUM;Codex;SHP-001;scripts/**|qa/**|package*.json|SEO-Reports;npm seo check Exit 0 und 0 ERRORs;SEO-Check|Report-Schema;NEIN;M
SHP-011;Kategoriebild-Regressionssuite;Graue Teppichbilder automatisch erkennen;MEDIUM;Codex;SHP-003;qa/**|Tests|Screenshots;sechs Collections ohne Placeholder;Playwright 390/1440;NEIN;M
SHP-012;Teppichboden-Menü-Audit;Ownership Links und Lücken belegen;LOW;ChatGPT Work;SHP-003;Reports;Globo/Shopify-Struktur eindeutig;Linkcheck|Mobile DOM;NEIN;S
SHP-013;Teppichboden-Menü korrigieren;Zielnavigation minimal umsetzen;HIGH;Codex;SHP-012;genehmigte Menüressourcen;Mobile korrekt Desktop unverändert;Playwright|Linkcheck|QA;JA;M
SHP-014;Florhöhen-/ecoVella-Evidenzaudit;Sortiment strukturiert klassifizieren;LOW;ChatGPT Work;-;Reports|Read-only Exporte;Verteilung Quellen Restliste;Schema-/Vollständigkeit;NEIN;M
SHP-015;Live-Collection-Zuordnungen;Freigegebene Zuordnungen anwenden;HIGH;Codex;SHP-014;explizite Produkt-/Collection-IDs;nur belegte Freigaben Preise/SKUs gleich;Before-after|Collection-Smokes;JA;M
SHP-016;Sisal-&-Natur-Spezifikation;Taxonomie und Eligibility finalisieren;LOW;ChatGPT Work;SHP-014;SISAL_NATUR_*.md/csv;eindeutige Regeln und Restliste;Tabellenvalidator;NEIN;S
SHP-017;Sisal Dev-Theme-Prototyp;Collection-UX nur im Dev Theme;MEDIUM;Codex;SHP-016,SHP-002;definierte Sections/Templates/Snippets;keine Live-Ressource Mobile/Desktop konsistent;Dev-QA|Links|Bilder;NEIN;M
SHP-018;Jordan-Pipeline-Validator;Quellen Pflichtfelder Fehlerklassen prüfen;LOW;Codex;SHP-001;Jordan-Tooling|Fixtures|Reports;keine erfundenen Daten Restliste;CSV-/JSON-Schema;NEIN;M
SHP-019;Jordan Draft Dry Run;Unveröffentlichte Drafts reversibel vorbereiten;MEDIUM;Codex;SHP-018,SHP-005;Pipeline|Draft-Fixtures;nur Draft unpublished rollback möglich;Dry-run|Read-back|Rollback;JA;M
SHP-020;Bildinventar & Lizenzstatus;Fotos Quellen und Lücken katalogisieren;LOW;ChatGPT Work;-;Reports|CSV|Read-only Assets;Quelle Produktbezug Lizenzstatus Format;Hash-/Dublettencheck;NEIN;M
SHP-021;Accessibility-Baseline;Mechanische WCAG-nahe Fehler priorisieren;LOW;Codex;SHP-003;qa/**|Reports;reproduzierbare Selector-Liste;Accessibility-Regeln|Keyboard;NEIN;S
SHP-022;Kleine Accessibility-Fixes;Isolierte Fixes im Dev Theme;MEDIUM;Codex;SHP-021,SHP-002;explizite Locale/Snippet/CSS-Dateien;keine Kauflogikänderung;Scoped Playwright|QA;NEIN;M
SHP-023;Google-Kanalausschluss Rollenware;118 Produkte nur aus Google & YouTube entfernen;HIGH;Ahmet + Worker;Exclusion List;Sales-Channel-Verfügbarkeit;Online Store aktiv Google aus;Read-back|Merchant Sync;JA;M
SHP-024;Merchant-Zielarchitektur Rollenware;Kaufbare Feedarchitektur bewerten;MEDIUM;ChatGPT Work;SHP-023;Reports|Read-only Daten;Empfehlung mit Preisgenauigkeit Aufwand Risiko;Daten-/Schema-Simulation;JA;M
